title,price,rating
"Samsung 27-inch(68.4cm) 2K QHD Odyssey G7 Gaming, 240 Hz, 1ms Curved Monitor, 2560 X 1440 Pixels, Height Adjustale Stand, QLED, HDR600, G-Sync Compatible (LC27G75TQSWXXL, Black)","31,999",4.1 out of 5 stars
"Samsung 28-inch(70.8cm) Odyssey G7 Gaming, UHD 4K, 144Hz, 1ms, HAS, IPS Panel, G-Sync Compatible, HDR 400, Smart TV Experience, (LS28BG700EWXXL, Black)","53,999",5.0 out of 5 stars
"Samsung 32-Inch (80cm) 4K UHD Odyssey Neo G7 Gaming, 165 Hz, 1ms Curved Monitor, 3840 x 2160 Pixels, Mini-LED, Height Adjustable Stand , Matte Display, HDR2000, (LS32BG750NWXXL, Black)","68,699",4.1 out of 5 stars
"Samsung 43-inch(108cm) Odyssey Neo G7 UHD, 144Hz, 1 ms, Flat Gaming Monitor, Smart TV, Gaming Hub, Quantum Mini LED, HDR600, Game Bar, AMD FreeSync Premium Pro, (LS43CG700NWXXL, Black)","57,799",3.7 out of 5 stars
"Samsung 34-inch(86.8cm) 3440 x 1440 Pixels Odyssey OLED G8 Ultra WQHD, 175 Hz, 0.1ms, HAS, Curved Gaming Monitor, USB Type -C, Smart TV, Gaming Hub, AMD FreeSync (LS34BG850SWXXL, Black)","1,16,299",3.9 out of 5 stars
"Samsung 49-inch(124.4cm) Odyssey G9 Dual QHD, 240Hz, 1ms Curved Gaming Monitor, QLED, HAS, HDR 1000, G-Sync (LC49G95TSSWXXL, Black)","1,41,999",3.3 out of 5 stars
"Samsung 27-inches 68.46cm 2560 X 1440 (WQHD) Pixels Odyssey G5 Gaming, Ultra WQHD, 144 Hz, 1ms, 1000R Curved Monitor, QLED, AMD FreeSync Premium LC27G55TQWWXXL, Black","25,900",4.1 out of 5 stars
"Samsung 28-Inch(70.85Cm) 3840 x 2160 Pixels 4K Gaming, UHD, IPS, 144 Hz, 1ms, Flat Monitor, HAS, Bezel-Less, HDR400, G-Sync Compatible, FreeSync Premium, (LS28AG700NWXXL, Black)","53,999",4.3 out of 5 stars
"Samsung 34-inches 86.42cm LED Odyssey G5 Ultra WQHD, 165 Hz, 1ms, 1000R Curved Gaming Monitor, HDR10, AMD FreeSync Premium -LC34G55TWWWXXL, Black, 3440 X 1440 (WQHD) Pixels","39,099",4.1 out of 5 stars
"Samsung 28-inch(70.9cm) 4K UHD IPS Gaming IPS, 144 Hz, 1ms, Flat Monitor, Smart TV, Height Adjustable Stand, Bezel-Less, HDR400, G-Sync Compatible (LS28BG702EWXXL, Black)","52,499",3.9 out of 5 stars
"Lenovo L-Series 27 inch (68.58cm) FHD IPS Monitor |16.7m Colors, 75Hz, AMD FreeSync, USB-C Port, 3Wx2 Speakers, HDMI, VGA, Tilt Swivel Pivot Height Adjust Stand for Home & Office, L27m-30 Black","20,500",4.2 out of 5 stars
"HyperX Armada 27""/ 68.6CM 2560 x 1440 Pixels IPS QHD Gaming Monitor (64V70AA#ACJ), Black","46,290",4.0 out of 5 stars
"Samsung 27-inch(68.4cm) FHD, IPS Gaming, 240Hz, 1ms Flat Monitor, 1920 x 1080 Pixels, Height Adjustable Stand, HDR10, Nvidia G-Sync Compatible, Ultrawide Game View (LS27BG400EWXXL, Black)","22,699",4.4 out of 5 stars
"Samsung 27-inch(68.5cm) Odyssey G6 Gaming, 2K QHD, 240Hz, 1ms GTG, 1000R Curved Monitor, Height Adjustable, Pivot, Smart TV Apps, HDR600, AMD FreeSync Premium Pro (LS27BG650EWXXL, Black)","41,273",Previous page
"Samsung 32-Inch(80Cm) 2K Qhd Odyssey G5 Gaming, 165Hz, 1Ms, Flat LCD Monitor, 2560 X 1440 Pixels, Height Adjustbale Stand, Hdr10, AMD Freesync Premium (Ls32Cg510Ewxx, Black)","24,499",4.1 out of 5 stars
"Samsung 27-Inch(68.5Cm) Odyssey G5 Gaming, Qhd 2K, 165Hz, 1Ms, 1000R Curved LCD Monitor, AMD Freesync Premium, Hdr10 (Ls27Ag550Ewxxl, Black)","24,599",4.1 out of 5 stars
"Samsung 27-Inch(68.5Cm) 2K Qhd Odyssey G5 Gaming, 165Hz, 1Ms, Flat LCD Monitor, 2560 X 1440 Pixels, Height Adjustbale Stand, Hdr10, AMD Freesync Premium (Ls27Cg510Ewxx, Black)","21,699",4.1 out of 5 stars
"Samsung 32-Inch(80cm) 4K UHD Odyssey Neo G8 Gaming, 240 Hz, 1ms Curved Monitor, 3840 x 2160 Pixels, Mini-LED, Height Adjustable Stand, Matte Display, HDR2000 (LS32BG850NWXXL, Black)","79,299",4.1 out of 5 stars
"AOC Agon PRO AG275QXL 27 inch LCD League of Legends Official Tournament Gaming Monitor, QHD 2560 x 1440 Px, 170Hz 1ms Response Time, G-SYNC Compatible, Adjustable-Height, PS5 Xbox Switch, Black","33,990",4.2 out of 5 stars
"PROLEGEND PL-MS322 Dual-Monitor Desk Stand/Computer Monitor Stand Screen Size from 17""- 32”","3,650",Previous page
"Lenovo L-Series 68.58 Cm (27 Inch) (68.58 Cm) FHD IPS Ultraslim Monitor, 1920 x 1080 Pixels |16.7 Mn Colors, 75Hz, 4ms, AMD FreeSync, HDMI, TUV Eye Comfort & Low Blue Light, Raven Black","10,499",4.4 out of 5 stars
"HyperX Armada 25 FHD Gaming Monitor 1920 x 1080 Pixel, IPS (64V62AA#ACJ) Black","42,590",Previous page
